Case10,2022-01-02 13:39:47,2022-01-17 09:34:32,14 days 19:54:45,0,AB52,E,AB,1
Case100,2022-01-02 15:43:48,2022-01-18 10:14:25,15 days 18:30:37,0,AB41,E,AB,1
Case1000,2022-01-16 12:16:52,2022-01-25 11:50:16,8 days 23:33:24,0,AB47,G,AB,1
Case10002,2022-06-13 13:28:01,2022-06-27 11:25:11,13 days 21:57:10,0,AB22,J,AB,0
Case10003,2022-06-13 14:02:16,2022-06-21 07:57:58,7 days 17:55:42,1,AB49,E,AB,1
Case10006,2022-06-13 15:47:06,2022-06-26 11:37:54,12 days 19:50:48,0,AB62,L,AB,1
Case10007,2022-06-13 15:58:27,2022-07-20 10:19:53,36 days 18:21:26,0,AB62,L,AB,0
Case10008,2022-06-13 16:50:25,2022-07-02 13:52:35,18 days 21:02:10,0,AB29,E,AB,0
Case10009,2022-06-13 08:48:11,2022-06-19 11:34:07,6 days 02:45:56,1,AB63,G,AB,1
Case1001,2022-01-16 12:32:01,2022-01-31 16:33:34,15 days 04:01:33,0,AB52,L,AB,1
Case10010,2022-06-13 08:55:22,2022-06-18 15:36:09,5 days 06:40:47,1,AB20,G,AB,1
Case10012,2022-06-13 11:09:39,2022-07-18 10:20:44,34 days 23:11:05,0,AB62,E,AB,1
Case10013,2022-06-13 11:57:03,2022-06-19 08:32:25,5 days 20:35:22,1,AB49,E,AB,0
Case10014,2022-06-13 08:26:11,2022-06-14 14:28:24,1 days 06:02:13,1,AB53,G,AB,1
Case10015,2022-06-13 18:02:12,2022-07-23 08:19:44,39 days 14:17:32,0,AB50,L,AB,1
Case10016,2022-06-13 09:26:35,2022-07-20 08:32:42,36 days 23:06:07,0,AB50,L,AB,1
Case10017,2022-06-13 09:26:35,2022-06-21 06:16:39,7 days 20:50:04,0,AB44,L,AB,1
Case10018,2022-06-13 14:46:42,2022-06-27 09:49:22,13 days 19:02:40,0,AB45,E,AB,1
Case1002,2022-01-16 00:00:00,2022-01-22 13:58:02,6 days 13:58:02,0,AB36,,AB,1
Case10020,2022-06-14 09:08:51,2022-07-18 09:09:58,34 days 00:01:07,0,AB61,E,AB,0
Case10021,2022-06-14 09:34:32,2022-07-10 08:56:33,25 days 23:22:01,0,AB52,L,AB,1
Case10022,2022-06-14 09:58:43,2022-08-21 13:40:53,68 days 03:42:10,0,AB62,E,AB,1
Case10023,2022-06-14 10:25:07,2022-06-19 08:15:30,4 days 21:50:23,1,AB16,E,AB,1
Case10024,2022-06-14 11:16:32,2022-06-27 09:58:08,12 days 22:41:36,0,AB36,E,AB,0
Case10025,2022-06-14 11:54:07,2022-06-28 07:54:40,13 days 20:00:33,0,AB62,L,AB,1
Case10026,2022-06-14 09:08:20,2022-06-28 12:54:41,14 days 03:46:21,0,AB29,L,AB,1
Case10028,2022-06-14 10:05:14,2022-06-22 11:43:21,8 days 01:38:07,1,AB34,L,AB,0
Case10029,2022-06-14 10:13:34,2022-06-22 15:05:00,8 days 04:51:26,0,AB25,E,AB,0
Case10032,2022-06-14 12:01:34,2022-06-25 07:03:37,10 days 19:02:03,0,AB40,L,AB,0
Case10034,2022-06-14 12:24:27,2022-06-29 09:44:11,14 days 21:19:44,0,AB52,L,AB,1
Case10037,2022-06-14 14:23:13,2022-07-18 08:39:24,33 days 18:16:11,0,AB62,E,AB,1
Case10038,2022-06-14 14:35:17,2022-07-02 09:22:00,17 days 18:46:43,1,AB8,E,AB,1
Case10039,2022-06-14 14:40:40,2022-06-19 10:06:38,4 days 19:25:58,1,AB41,E,AB,1
